year,source,target,cumulative_volume_af,transmission_kwh/af
2010,1807361PD,1807361E,4074.68,163.1
2010,1807366PD,1807366E,26628.91,307.0
2010,1807367PD,1807367E,19774.44,307.0
2010,1807373PD,1807373E,10744.0,163.1
2010,1807375PD,1807375E,4231.08,163.1
2010,1807377NPD,1807377E,6371.0,195.72
2010,1807377PD,1807377E,18758.0,163.1
2010,1807379NPD,1807379E,375.5,195.72
2010,1807379PD,1807379E,2768.0,163.1
2010,1807381NPD,1807381E,580.0,195.72
2010,1807381PD,1807381E,1738.76,163.1
2010,1807382PD,1807382E,12740.0,163.1
2010,1807385PD,1807385E,19524.27,163.1
2010,1807389PD,1807389E,14096.68,163.1
2010,1807391NPD,1807391E,22.0,195.72
2010,1807391PD,1807391E,7970.94,163.1
2010,1807395PD,1807395E,3155.0,163.1
2010,1807397NPD,1807397E,448.0,195.72
2010,1807397PD,1807397E,8154.72,163.1
2010,1807398NPD,1807398E,30.0,195.72
2010,1807398PD,1807398E,21758.72,163.1
2010,1807399NPD,1807399E,736.0,195.72
2010,1807399PD,1807399E,6529.6,163.1
2010,1807401PD,1807401E,17119.15,163.1
2010,1807403PD,1807403E,24737.07,163.1
2010,1807407NPD,1807407E,7168.06,195.3693197
2010,1807407PD,1807407E,2104.7,163.1
2010,1807409PD,1807409E,18842.24,163.1
2010,1807411NPD,1807411E,475.0,195.72
2010,1807411PD,1807411E,66804.32,163.1
2010,1807413PD,1807413E,11045.6,163.1
2010,1807415NPD,1807415E,34.5,195.72
2010,1807415PD,1807415E,7379.0,163.1
2010,1807417PD,1807417E,19952.46,163.1
2010,1807419NPD,1807419E,352.92258,195.72
2010,1807419PD,1807419E,10848.72494,163.1
2010,1804000PD,1804000E,3038.0,17.6
2010,1808003PD,1808003E,1485.0,17.6
2010,1808005PD,1808005E,5812.08,17.6
2010,1808009PD,1808009E,1034.937279,17.6
2010,1808011PD,1808011E,5071.0,17.6
2010,1809001PD,1809001E,3982.8184990000004,163.1
2010,1809003IMP,1809003E,6612.0,0.0
2010,1809003PD,1809003E,8965.0,163.1
2010,1809005PD,1809005E,13453.0,28.0
2010,1809011PD,1809011E,886.42,163.1
2010,1809013PD,1809013E,642.39,163.1
2010,1809015PD,1809015E,6200.75,337.0
2010,1809017PD,1809017E,13595.0,163.1
2010,1809019PD,1809019E,7400.0,163.1
2010,1809021PD,1809021E,1556.3,163.1
2010,1809023PD,1809023E,45396.0,163.1
2010,1809025NPD,1809025E,32.0,195.72
2010,1809025PD,1809025E,1973.92,163.1
2010,1809027PD,1809027E,19800.0,163.1
2010,1809029PD,1809029E,2733.19,163.1
2010,1809031PD,1809031E,5400.0,163.1
2010,1809033PD,1809033E,3007.0,163.1
2010,1809039PD,1809039E,20862.38,163.1
2010,1810001PD,1810001E,7355.81,17.6
2010,1810003PD,1810003E,3298.96,17.6
2010,1810007PD,1810007E,7563.92,17.6
2010,1810009PD,1810009E,4748.58,17.6
2010,1810011PD,1810011E,2189.76,17.6
2010,1810013PD,1810013E,104013.6,17.6
2010,1810015NPD,1810015E,4500.0,21.12
2010,1810015PD,1810015E,39550.0,17.6
2010,1810017PD,1810017E,7386.68,17.6
2010,1810019PD,1810019E,2956.95,17.6
2010,1810023PD,1810023E,2547.2417379999997,17.6
2010,1810025PD,1810025E,19864.64,17.6
2010,1810027PD,1810027E,1544.4,17.6
2010,1810029PD,1810029E,8058.45,17.6
2010,1810035PD,1810035E,2558.75,17.6
2010,CVP_Flsm,1802085E,5.7122,0.0
2010,GW1807-4-08 ,1807041E,3463.32,163.1
2010,GW1807-9-01,1807329E,646.0,579.0
2010,GW1808011,1808011E,604.0,177.0
2010,GW1810-7-62,1810035E,102.0,476.0
2010,GWR1805-2-09.01 ,1805003E,15700.0,318.2
2010,GWR1805-2-35,1805027E,2204.0,318.2
